b,g,e,iter,time.taken
-1,0.5,0.5,2,342102
-1,0.5,0.5,2,344129
-1,0.5,0.5,3,344133
-1,0.5,0.5,3,434881
-1,0.5,0.5,3,205269
-1,0.5,0.5,3,599706
-1,0.5,0.5,34,273386
-1,0.5,0.5,4,620104
-1,0.5,0.5,4,427391
-1,0.5,0.5,4,437896
-1,0.5,0.5,4,420433
-1,0.5,0.5,4,329157
-1,0.5,0.5,4,179905
-1,0.5,0.5,5,452281
-1,0.5,0.5,5,361530
-1,0.5,0.5,5,377463
-1,0.5,0.5,5,307567
-1,0.5,0.5,5,461490
-1,0.5,0.5,68,270899
-1,1,-0.5,1,447050
-1,1,-0.5,1,499124
-1,1,-0.5,1,367570
-1,1,-0.5,1,381643
-1,1,-0.5,1,389827
-1,1,-0.5,2,388275
-1,1,-0.5,2,355220
-1,1,-0.5,2,435395
-1,1,-0.5,25,342033
-1,1,-0.5,3,319547
-1,1,-0.5,3,464544
-1,1,-0.5,34,518086
-1,1,-0.5,4,175328
-1,1,-0.5,4,374390
-1,1,-0.5,4,382705
-1,1,-0.5,4,432338
-1,1,-0.5,68,434327
-1,1,0,1,419262
-1,1,0,2,436451
-1,1,0,2,364479
-1,1,0,3,415106
-1,1,0,3,367477
-1,1,0,3,125427
-1,1,0,3,448777
-1,1,0,4,181599
-1,1,0,4,359947
-1,1,0,4,447308
-1,1,0,4,437985
-1,1,0,5,463584
-1,1,0,5,389684
-1,1,0,5,379643
-1,1,0,68,380529
-1,1,0.5,1,399523
-1,1,0.5,1,351476
-1,1,0.5,1,343259
-1,1,0.5,2,546587
-1,1,0.5,2,424247
-1,1,0.5,2,421816
-1,1,0.5,3,426190
-1,1,0.5,3,392704
-1,1,0.5,3,390364
-1,1,0.5,34,330238
-1,1,0.5,4,363074
-1,1,0.5,4,166098
-1,1,0.5,4,337486
-1,1,0.5,4,331094
-1,1,0.5,4,308425
-1,1,0.5,5,357521
-1,1,0.5,5,317902
-1,1,0.5,5,308234
-1,1,0.5,5,315962
-1,1.5,-0.5,1,484791
-1,1.5,-0.5,2,452741
-1,1.5,-0.5,2,738916
-1,1.5,-0.5,3,471786
-1,1.5,-0.5,3,409434
-1,1.5,-0.5,3,134703
-1,1.5,-0.5,3,419842
-1,1.5,-0.5,3,456500
-1,1.5,-0.5,34,335296
-1,1.5,-0.5,4,400861
-1,1.5,-0.5,4,226631
-1,1.5,-0.5,4,443994
-1,1.5,-0.5,4,443972
-1,1.5,-0.5,4,459747
-1,1.5,-0.5,67,536923
-1,1.5,-0.5,68,360436
-1,1.5,0,1,385323
-1,1.5,0,1,435213
-1,1.5,0,1,327652
-1,1.5,0,1,559860
-1,1.5,0,2,413912
-1,1.5,0,2,200852
-1,1.5,0,2,388739
-1,1.5,0,3,368181
-1,1.5,0,3,327741
-1,1.5,0,3,422568
-1,1.5,0,3,216553
-1,1.5,0,34,267988
-1,1.5,0,4,419194
-1,1.5,0,4,181451
-1,1.5,0,4,330254
-1,1.5,0,5,302287
-1,1.5,0,5,418230
-1,1.5,0,5,463892
-1,1.5,0,5,458258
-1,1.5,0.5,1,374669
-1,1.5,0.5,2,319633
